02+0306.  03+0000.  04+58.00  05+00.00  06+00.00  07+197.3  08+25.89  09+562.2  10+731.2  11+13.64
02+0306.  03+0000.  04+59.00  05+00.00  06+00.00  07+180.0  08+24.66  09+558.5  10+710.2  11+13.64
02+0306.  03+0001.  04+00.00  05+00.00  06+00.00  07+175.1  08+25.89  09+574.6  10+731.2  11+13.64
02+0306.  03+0001.  04+01.00  05+00.00  06+00.00  07+183.7  08+24.66  09+556.1  10+721.3  11+13.64
02+0306.  03+0001.  04+02.00  05+01.23  06+00.00  07+203.4  08+24.66  09+549.9  10+707.7  11+13.64
02+0306.  03+0001.  04+03.00  05+00.00  06+00.00  07+208.4  08+24.66  09+572.1  10+709.0  11+13.64
02+0306.  03+0001.  04+04.00  05+00.00  06+00.00  07+196.0  08+24.66  09+553.6  10+711.4  11+13.64
02+0306.  03+0001.  04+05.00  05+00.00  06+00.00  07+205.9  08+24.66  09+557.3  10+721.3  11+13.64
02+0306.  03+0001.  04+06.00  05+00.00  06+00.00  07+186.2  08+24.66  09+559.8  10+713.9  11+13.64
02+0306.  03+0001.  04+07.00  05+00.00  06+00.00  07+181.3  08+24.66  09+557.3  10+713.9  11+13.64
02+0306.  03+0001.  04+08.00  05+00.00  06+00.00  07+181.3  08+24.66  09+567.2  10+717.6  11+13.64
02+0306.  03+0001.  04+09.00  05+00.00  06+00.00  07+197.3  08+24.66  09+561.0  10+716.4  11+13.65
02+0306.  03+0001.  04+10.00  05+00.00  06+00.00  07+201.0  08+25.89  09+572.1  10+734.9  11+13.64
02+0306.  03+0001.  04+11.00  05+00.00  06+00.00  07+181.3  08+25.89  09+570.9  10+736.1  11+13.65
02+0306.  03+0001.  04+12.00  05+00.00  06+00.00  07+262.6  08+29.59  09+564.7  10+705.3  11+13.65
02+0306.  03+0001.  04+13.00  05+00.00  06+00.00  07+233.0  08+28.36  09+575.8  10+725.0  11+13.65
02+0306.  03+0001.  04+14.00  05+00.00  06+00.00  07+229.3  08+25.89  09+564.7  10+713.9  11+13.64
02+0306.  03+0001.  04+15.00  05+00.00  06+00.00  07+229.3  08+25.89  09+564.7  10+713.9  11+13.64
02+0306.  03+0001.  04+16.00  05+00.00  06+00.00  07+220.7  08+24.66  09+577.0  10+718.8  11+13.64
